Year,Athlete,Medal,Country,Results
1896,Tom Burke,GOLD,USA,12
1896,Fritz Hofmann,SILVER,DEU,12.2
1896,Francis Lane,BRONZE,USA,12.6
1896,Alajos Szokolyi,BRONZE,HUN,12.6
1900,Frank Jarvis,GOLD,USA,11
1900,Walter Tewksbury,SILVER,USA,11.1
1900,Stan Rowley,BRONZE,AUS,11.2
1904,Archie Hahn,GOLD,USA,11
1904,Nate Cartmell,SILVER,USA,11.2
1904,Bill Hogenson,BRONZE,USA,11.2
1906,Archie Hahn,GOLD,USA,11.2
1906,Fay Moulton,SILVER,USA,11.3
1906,Nigel Barker,BRONZE,AUS,11.3
1908,Reggie Walker,GOLD,SAF,10.8
1908,James Rector,SILVER,USA,10.9
1908,Robert Kerr,BRONZE,CAN,11
1912,Ralph Craig,GOLD,USA,10.8
1912,Alvah Meyer,SILVER,USA,10.9
1912,Donald Lippincott,BRONZE,USA,10.9
1920,Charles Paddock,GOLD,USA,10.8
1920,Morris Kirksey,SILVER,USA,10.8
1920,Harry Edward,BRONZE,GBR,11
1924,Harold Abrahams,GOLD,GBR,10.6
1924,Jackson Scholz,SILVER,USA,10.7
1924,Arthur Porritt,BRONZE,NZL,10.8
1928,Percy Williams,GOLD,CAN,10.8
1928,Jack London,SILVER,GBR,10.9
1928,Georg Lammers,BRONZE,GER,10.9
1932,Eddie Tolan,GOLD,USA,10.3
1932,Ralph Metcalfe,SILVER,USA,10.3
1932,Arthur Jonath,BRONZE,GER,10.4
1936,Jesse Owens,GOLD,USA,10.3
1936,Ralph Metcalfe,SILVER,USA,10.4
1936,Tinus Osendarp,BRONZE,NED,10.5
1948,Harrison Dillard,GOLD,USA,10.3
1948,Barney Ewell,SILVER,USA,10.4
1948,Lloyd LaBeach,BRONZE,PAN,10.4
1952,Lindy Remigino,GOLD,USA,10.4
1952,Herb McKenley,SILVER,JAM,10.4
1952,Emmanuel Bailey,BRONZE,GBR,10.4
1956,Bobby Morrow,GOLD,USA,10.5
1956,Thane Baker,SILVER,USA,10.5
1956,Hec Hogan,BRONZE,AUS,10.6
1960,Armin Hary,GOLD,GER,10.2
1960,David Sime,SILVER,USA,10.2
1960,Peter Radford,BRONZE,GBR,10.3
1964,Bob Hayes,GOLD,USA,10
1964,Enrique Figuerola,SILVER,CUB,10.2
1964,Harry Jerome,BRONZE,CAN,10.2
1968,Jim Hines,GOLD,USA,9.95
1968,Lennox Miller,SILVER,JAM,10
1968,Charlie Greene,BRONZE,USA,10
1972,Valery Borzov,GOLD,URS,10.14
1972,Robert Taylor,SILVER,USA,10.24
1972,Lennox Miller,BRONZE,JAM,10.33
1976,Hasely Crawford,GOLD,TRI,10.06
1976,Don Quarrie,SILVER,JAM,10.08
1976,Valery Borzov,BRONZE,URS,10.14
1980,Allan Wells,GOLD,GBR,10.25
1980,Silvio Leonard,SILVER,CUB,10.25
1980,Petar Petrov,BRONZE,BUL,10.39
1984,Carl Lewis,GOLD,USA,9.99
1984,Sam Graddy,SILVER,USA,10.19
1984,Ben Johnson,BRONZE,CAN,10.22
1988,Carl Lewis,GOLD,USA,9.92
1988,Linford Christie,SILVER,GBR,9.97
1988,Calvin Smith,BRONZE,USA,9.99
1992,Linford Christie,GOLD,GBR,9.96
1992,Frankie Fredericks,SILVER,NAM,10.02
1992,Dennis Mitchell,BRONZE,USA,10.04
1996,Donovan Bailey,GOLD,CAN,9.84
1996,Frankie Fredericks,SILVER,NAM,9.89
1996,Ato Boldon,BRONZE,TRI,9.9
2000,Maurice Greene,GOLD,USA,9.87
2000,Ato Boldon,SILVER,TRI,9.99
2000,Obadele Thompson,BRONZE,BAR,10.04
2004,Justin Gatlin,GOLD,USA,9.85
2004,Francis Obikwelu,SILVER,POR,9.86
2004,Maurice Greene,BRONZE,USA,9.87
2008,Usain Bolt,GOLD,JAM,9.69
2008,Richard Thompson,SILVER,TRI,9.89
2008,Walter Dix,BRONZE,USA,9.91
2012,Usain Bolt,GOLD,JAM,9.63
2012,Yohan Blake,SILVER,JAM,9.75
2012,Justin Gatlin,BRONZE,USA,9.79
2016,Usain Bolt,GOLD,JAM,9.81
2016,Justin Gatlin,SILVER,USA,9.89
2016,Andre De Grasse,BRONZE,CAN,9.91
2020,Lamont Marcell Jacobs,GOLD,ITA, 9.8 
2020,Fred Kerley, SILVER,USA,9.84
2020,Andre de Grasse,BRONZE,CAN,9.89 
